pilotId,portCode,portName,pilotName,pilotCode,pilotType,pilotClass,certificationLevel,experienceYears,maxVesselGT,maxVesselLOA,nightOperations,adverseWeather,canTrain,licenseIssueDate,licenseExpiryDate,status,languages,certifications,certificationsCount
213,CNSHA,Port of Shanghai,Xiao Yang,CNSHA-RP-1993-0213,River,Class I,Class A,20,150000,366,TRUE,TRUE,TRUE,1993-11-08,2029-04-16,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Emergency Response; Bulk Carrier (Capesize); LNG Carrier Operations; Environmental Compliance; Bridge Resource Management (BRM),9
214,CNSHA,Port of Shanghai,Hong Wang,CNSHA-HP-2006-0214,Harbor,Senior,Class A,16,150000,366,TRUE,TRUE,TRUE,2006-02-22,2028-07-09,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; Heavy Weather Operations; Night Operations - All Vessels; Ice Navigation; Passenger Vessel,12
215,CNSHA,Port of Shanghai,Wei Wu,CNSHA-HP-2017-0215,Harbor,Class III,Class C,7,40000,250,TRUE,FALSE,FALSE,2017-05-26,2030-08-12,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; Car Carrier/RoRo; Restricted Visibility Operations; ISPS Security Awareness; Bridge Resource Management (BRM),9
216,CNSHA,Port of Shanghai,Hui Wang,CNSHA-HP-2009-0216,Harbor,Senior,Class A,13,150000,366,TRUE,TRUE,TRUE,2009-06-07,2026-09-07,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; LNG Carrier Operations; Emergency Response; Medical First Aid; Human Factors Training,9
217,CNSHA,Port of Shanghai,Hui Wang,CNSHA-HP-2022-0217,Harbor,Class III,Class D,3,20000,200,FALSE,FALSE,FALSE,2022-01-10,2029-04-07,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; Passenger Vessel; Naval Vessels; Heavy Weather Operations,7
218,CNSHA,Port of Shanghai,Hong Xu,CNSHA-DS-2007-0218,Deep Sea,Senior,Class B,14,75000,300,TRUE,FALSE,TRUE,2007-04-23,2028-08-03,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Restricted Visibility Operations; Emergency Response; LNG Carrier Operations; High-Speed Craft,12
219,CNSHA,Port of Shanghai,Xiao Liu,CNSHA-HP-1992-0219,Harbor,Class II,Class B,8,75000,300,TRUE,FALSE,FALSE,1992-08-04,2030-12-01,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; High-Speed Craft; Cruise Ship Operations; Naval Vessels; Manned Model Training,10
220,CNSHA,Port of Shanghai,Chen Liu,CNSHA-RP-2010-0220,River,Junior,Class C,1,40000,250,TRUE,FALSE,FALSE,2010-05-20,2028-10-09,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Tug and Tow Operations,4
221,CNSHA,Port of Shanghai,Qiang Yang,CNSHA-HP-1998-0221,Harbor,Senior,Unlimited,19,Unlimited,Unlimited,TRUE,TRUE,TRUE,1998-02-04,2028-01-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Chemical Tanker Handling; Emergency Response; Cruise Ship Operations; Manned Model Training,10
222,CNSHA,Port of Shanghai,Ming Li,CNSHA-CP-1990-0222,Canal,Class II,Class B,6,75000,300,TRUE,FALSE,FALSE,1990-09-21,2028-01-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; Passenger Vessel; Container Vessel (ULCV); STCW Certificate; Automatic Radar Plotting Aid (ARPA),9
223,CNSHA,Port of Shanghai,Lei Zhang,CNSHA-DS-1997-0223,Deep Sea,Class I,Class A,20,150000,366,TRUE,TRUE,TRUE,1997-07-15,2029-05-14,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Car Carrier/RoRo; Heavy Weather Operations; Environmental Compliance; Human Factors Training,9
224,CNSHA,Port of Shanghai,Wei Liu,CNSHA-HP-2019-0224,Harbor,Class I,Unlimited,14,Unlimited,Unlimited,TRUE,TRUE,TRUE,2019-07-16,2030-03-02,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); LNG Carrier Operations; Naval Vessels; Ice Navigation; STCW Certificate,10
225,CNSHA,Port of Shanghai,Hong Chen,CNSHA-DS-2023-0225,Deep Sea,Senior,Class A,16,150000,366,TRUE,TRUE,TRUE,2023-05-06,2028-05-14,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; LNG Carrier Operations; Ice Navigation; Offshore Support Vessels; Human Factors Training,10
226,CNSHA,Port of Shanghai,Xiao Zhou,CNSHA-DS-1997-0226,Deep Sea,Senior,Class B,10,75000,300,TRUE,FALSE,TRUE,1997-01-18,2027-03-11,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Dangerous Goods Vessels; Passenger Vessel; STS Transfer Operations; Chemical Tanker Handling; Container Vessel (ULCV),12
227,CNSHA,Port of Shanghai,Peng Yang,CNSHA-RP-2023-0227,River,Class III,Class C,5,40000,250,TRUE,FALSE,FALSE,2023-05-20,2026-05-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); STS Transfer Operations; Cruise Ship Operations,5
228,CNSHA,Port of Shanghai,Zhong Xu,CNSHA-RP-1990-0228,River,Junior,Class D,1,20000,200,FALSE,FALSE,FALSE,1990-06-09,2030-06-03,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations; Night Operations - All Vessels,5
229,CNSHA,Port of Shanghai,Zhong Zhang,CNSHA-HP-1990-0229,Harbor,Class III,Class B,4,75000,300,TRUE,FALSE,FALSE,1990-09-23,2029-06-12,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Emergency Response; High-Speed Craft; Cruise Ship Operations; LPG Carrier Operations,7
230,CNSHA,Port of Shanghai,Wei Wang,CNSHA-CP-2016-0230,Canal,Class II,Class B,12,75000,300,TRUE,FALSE,FALSE,2016-12-24,2026-10-24,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; Container Vessel (ULCV); Global Maritime Distress Safety System (GMDSS); Human Factors Training; Crisis Management,8
231,CNSHA,Port of Shanghai,Jian Zhou,CNSHA-RP-2003-0231,River,Senior,Unlimited,23,Unlimited,Unlimited,TRUE,TRUE,TRUE,2003-11-18,2025-12-22,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; LNG Carrier Operations; Passenger Vessel; Chemical Tanker Handling; Electronic Chart Display (ECDIS),10
232,CNSHA,Port of Shanghai,Hui Zhang,CNSHA-HP-2012-0232,Harbor,Senior,Class A,20,150000,366,TRUE,TRUE,TRUE,2012-08-01,2025-11-03,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; Cruise Ship Operations; Car Carrier/RoRo; STS Transfer Operations; ISPS Security Awareness,10
233,CNSHA,Port of Shanghai,Zhong Wu,CNSHA-DS-2024-0233,Deep Sea,Senior,Unlimited,29,Unlimited,Unlimited,TRUE,TRUE,TRUE,2024-12-19,2027-04-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Night Operations - All Vessels; Chemical Tanker Handling; Dangerous Goods Vessels; Bulk Carrier (Capesize); VLCC/ULCC Handling,12
234,CNSHA,Port of Shanghai,Ming Zhang,CNSHA-CP-2012-0234,Canal,Class I,Unlimited,20,Unlimited,Unlimited,TRUE,TRUE,TRUE,2012-10-20,2028-03-28,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Car Carrier/RoRo; Dangerous Goods Vessels; High-Speed Craft; Offshore Support Vessels; Medical First Aid,10
235,CNSHA,Port of Shanghai,Qiang Li,CNSHA-RP-2016-0235,River,Class II,Class A,8,150000,366,TRUE,TRUE,FALSE,2016-12-02,2028-10-26,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Container Vessel (ULCV); LPG Carrier Operations; Port State Control Procedures; Electronic Chart Display (ECDIS); Ship Handling Simulator Training,8
236,CNSHA,Port of Shanghai,Chen Chen,CNSHA-RP-2024-0236,River,Senior,Unlimited,28,Unlimited,Unlimited,TRUE,TRUE,TRUE,2024-01-18,2025-01-02,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Passenger Vessel; LNG Carrier Operations; Chemical Tanker Handling; Manned Model Training,10
237,CNSHA,Port of Shanghai,Lei Zhang,CNSHA-CP-2006-0237,Canal,Senior,Master Pilot,32,Unlimited,Unlimited,TRUE,TRUE,TRUE,2006-12-27,2028-10-26,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; Tug and Tow Operations; Ice Navigation; VLCC/ULCC Handling; Passenger Vessel,11
238,CNSHA,Port of Shanghai,Chen Zhang,CNSHA-DS-2019-0238,Deep Sea,Class II,Class A,9,150000,366,TRUE,TRUE,FALSE,2019-08-09,2030-10-02,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Container Vessel (ULCV); VLCC/ULCC Handling; High-Speed Craft; Cruise Ship Operations; Bridge Resource Management (BRM),10
239,CNSHA,Port of Shanghai,Hong Zhang,CNSHA-DS-1998-0239,Deep Sea,Senior,Master Pilot,33,Unlimited,Unlimited,TRUE,TRUE,TRUE,1998-03-15,2026-01-27,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; VLCC/ULCC Handling; Tug and Tow Operations; Container Vessel (ULCV); Environmental Compliance,10
240,CNSHA,Port of Shanghai,Hong Zhang,CNSHA-RP-2011-0240,River,Class II,Class B,7,75000,300,TRUE,FALSE,FALSE,2011-02-07,2028-12-01,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Bulk Carrier (Capesize); VLCC/ULCC Handling; Crisis Management; Medical First Aid,9
241,CNSHA,Port of Shanghai,Chen Wang,CNSHA-CP-2011-0241,Canal,Class I,Class A,15,150000,366,TRUE,TRUE,TRUE,2011-03-25,2030-05-24,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations; High-Speed Craft; Chemical Tanker Handling; Port State Control Procedures; Medical First Aid,9
242,CNSHA,Port of Shanghai,Ming Wu,CNSHA-DS-2019-0242,Deep Sea,Class I,Class A,12,150000,366,TRUE,TRUE,TRUE,2019-03-25,2030-07-04,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; Tug and Tow Operations; Cruise Ship Operations; Naval Vessels; Manned Model Training,10
243,CNSHA,Port of Shanghai,Peng Xu,CNSHA-DS-2018-0243,Deep Sea,Class I,Class A,10,150000,366,TRUE,TRUE,TRUE,2018-12-16,2028-01-28,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; Heavy Weather Operations; Naval Vessels; LPG Carrier Operations; Ship Handling Simulator Training,10
244,CNSHA,Port of Shanghai,Chen Wang,CNSHA-DS-2009-0244,Deep Sea,Senior,Unlimited,30,Unlimited,Unlimited,TRUE,TRUE,TRUE,2009-05-22,2026-08-10,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Emergency Response; Heavy Weather Operations; Container Vessel (ULCV); LPG Carrier Operations; Ice Navigation,11
245,CNSHA,Port of Shanghai,Yang Xu,CNSHA-CP-2017-0245,Canal,Class I,Class A,8,150000,366,TRUE,TRUE,TRUE,2017-09-21,2028-01-25,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; Night Operations - All Vessels; Restricted Visibility Operations; VLCC/ULCC Handling; Dangerous Goods Vessels,11
246,CNSHA,Port of Shanghai,Chen Yang,CNSHA-DS-1995-0246,Deep Sea,Senior,Unlimited,14,Unlimited,Unlimited,TRUE,TRUE,TRUE,1995-03-16,2029-07-26,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; LPG Carrier Operations; Cruise Ship Operations; Car Carrier/RoRo; VLCC/ULCC Handling,12
247,CNSHA,Port of Shanghai,Hong Li,CNSHA-DS-2002-0247,Deep Sea,Trainee,Provisional,2,10000,150,FALSE,FALSE,FALSE,2002-04-03,2027-01-09,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; High-Speed Craft,5
248,CNSHA,Port of Shanghai,Peng Lin,CNSHA-CP-2004-0248,Canal,Class I,Class A,18,150000,366,TRUE,TRUE,TRUE,2004-02-26,2025-12-06,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; Naval Vessels; Night Operations - All Vessels; VLCC/ULCC Handling; STS Transfer Operations,11
249,CNSHA,Port of Shanghai,Ming Wu,CNSHA-DS-2016-0249,Deep Sea,Senior,Unlimited,34,Unlimited,Unlimited,TRUE,TRUE,TRUE,2016-11-10,2026-11-09,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; Naval Vessels; LNG Carrier Operations; STS Transfer Operations; Dangerous Goods Vessels,12
250,CNSHA,Port of Shanghai,Hui Huang,CNSHA-DS-1995-0250,Deep Sea,Senior,Unlimited,10,Unlimited,Unlimited,TRUE,TRUE,TRUE,1995-02-05,2029-08-04,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; Tug and Tow Operations; LNG Carrier Operations; Restricted Visibility Operations; Cruise Ship Operations,12
251,CNSHA,Port of Shanghai,Peng Wang,CNSHA-CP-1996-0251,Canal,Class III,Class C,4,40000,250,TRUE,FALSE,FALSE,1996-07-20,2028-06-24,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Cruise Ship Operations,5
252,CNSHA,Port of Shanghai,Ming Zhou,CNSHA-DS-2024-0252,Deep Sea,Class I,Unlimited,14,Unlimited,Unlimited,TRUE,TRUE,TRUE,2024-03-13,2029-09-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Emergency Response; STS Transfer Operations; Cruise Ship Operations; Night Operations - All Vessels; Container Vessel (ULCV),11
253,CNSHA,Port of Shanghai,Qiang Zhang,CNSHA-HP-2020-0253,Harbor,Class II,Class B,4,75000,300,TRUE,FALSE,FALSE,2020-02-28,2028-08-09,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; Container Vessel (ULCV); Bulk Carrier (Capesize),6
254,CNSHA,Port of Shanghai,Chen Huang,CNSHA-CP-2023-0254,Canal,Trainee,Provisional,1,10000,150,FALSE,FALSE,FALSE,2023-04-16,2026-04-28,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Naval Vessels,5
255,CNSHA,Port of Shanghai,Chen Li,CNSHA-RP-1990-0255,River,Senior,Unlimited,21,Unlimited,Unlimited,TRUE,TRUE,TRUE,1990-01-14,2029-10-21,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Emergency Response; LNG Carrier Operations; VLCC/ULCC Handling; Global Maritime Distress Safety System (GMDSS),10
256,CNSHA,Port of Shanghai,Ming Wu,CNSHA-CP-2021-0256,Canal,Senior,Unlimited,17,Unlimited,Unlimited,TRUE,TRUE,TRUE,2021-09-27,2026-08-25,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; Container Vessel (ULCV); STS Transfer Operations; STCW Certificate; Crisis Management,9
257,CNSHA,Port of Shanghai,Lei Zhang,CNSHA-DS-2020-0257,Deep Sea,Class III,Class C,4,40000,250,TRUE,FALSE,FALSE,2020-04-01,2025-09-23,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Tug and Tow Operations; Bulk Carrier (Capesize); LPG Carrier Operations; VLCC/ULCC Handling,7
258,CNSHA,Port of Shanghai,Chen Li,CNSHA-CP-2013-0258,Canal,Senior,Unlimited,13,Unlimited,Unlimited,TRUE,TRUE,TRUE,2013-11-01,2027-04-07,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Emergency Response; Car Carrier/RoRo; Human Factors Training; Bridge Resource Management (BRM),9
259,CNSHA,Port of Shanghai,Chen Zhang,CNSHA-HP-2003-0259,Harbor,Class I,Unlimited,15,Unlimited,Unlimited,TRUE,TRUE,TRUE,2003-02-20,2027-07-24,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Tug and Tow Operations; Restricted Visibility Operations; Emergency Response; LPG Carrier Operations; Bulk Carrier (Capesize),11
260,CNSHA,Port of Shanghai,Xiao Yang,CNSHA-CP-1995-0260,Canal,Class I,Class A,14,150000,366,TRUE,TRUE,TRUE,1995-12-15,2030-03-08,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Night Operations - All Vessels; Restricted Visibility Operations; High-Speed Craft; Automatic Radar Plotting Aid (ARPA); Crisis Management,9
261,CNSHA,Port of Shanghai,Hui Liu,CNSHA-CP-2007-0261,Canal,Class III,Class C,4,40000,250,TRUE,FALSE,FALSE,2007-06-16,2025-09-22,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Car Carrier/RoRo; Offshore Support Vessels; LNG Carrier Operations; Heavy Weather Operations,7
262,CNSHA,Port of Shanghai,Zhong Wang,CNSHA-DS-1991-0262,Deep Sea,Senior,Master Pilot,18,Unlimited,Unlimited,TRUE,TRUE,TRUE,1991-05-20,2026-08-09,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations; Passenger Vessel; STS Transfer Operations; Night Operations - All Vessels; Heavy Weather Operations,11
263,CNSHA,Port of Shanghai,Jian Wu,CNSHA-RP-2001-0263,River,Class II,Class B,4,75000,300,TRUE,FALSE,FALSE,2001-08-08,2030-09-10,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; High-Speed Craft; Passenger Vessel; VLCC/ULCC Handling,7
264,CNSHA,Port of Shanghai,Chen Yang,CNSHA-HP-2019-0264,Harbor,Class II,Class B,9,75000,300,TRUE,FALSE,FALSE,2019-06-10,2028-06-17,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; LPG Carrier Operations; Heavy Weather Operations; Night Operations - All Vessels; Port State Control Procedures,10
265,CNSHA,Port of Shanghai,Hui Huang,CNSHA-CP-2002-0265,Canal,Senior,Class A,32,150000,366,TRUE,TRUE,TRUE,2002-08-11,2025-04-27,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations; Car Carrier/RoRo; Offshore Support Vessels; Ship Handling Simulator Training; ISPS Security Awareness,9
266,CNSHA,Port of Shanghai,Hong Chen,CNSHA-HP-2001-0266,Harbor,Senior,Class B,10,75000,300,TRUE,FALSE,TRUE,2001-09-20,2028-07-10,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Tug and Tow Operations; Chemical Tanker Handling; Night Operations - All Vessels; STS Transfer Operations; LNG Carrier Operations,12
267,CNSHA,Port of Shanghai,Chen Li,CNSHA-HP-2008-0267,Harbor,Class II,Class B,6,75000,300,TRUE,FALSE,FALSE,2008-05-10,2029-07-04,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; Car Carrier/RoRo; Bridge Resource Management (BRM); Ship Handling Simulator Training; Automatic Radar Plotting Aid (ARPA),8
268,CNSHA,Port of Shanghai,Hong Zhou,CNSHA-DS-2008-0268,Deep Sea,Senior,Unlimited,10,Unlimited,Unlimited,TRUE,TRUE,TRUE,2008-06-02,2028-12-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; Passenger Vessel; High-Speed Craft; Ice Navigation; Cruise Ship Operations,11
269,CNSZX,Port of Shenzhen,Ming Yang,CNSZX-RP-2004-0269,River,Senior,Class A,12,150000,366,TRUE,TRUE,TRUE,2004-09-16,2030-10-08,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; Passenger Vessel; Night Operations - All Vessels; Container Vessel (ULCV); LNG Carrier Operations,12
270,CNSZX,Port of Shenzhen,Yang Xu,CNSZX-CP-2000-0270,Canal,Class I,Class B,11,75000,300,TRUE,FALSE,TRUE,2000-12-02,2025-06-19,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Heavy Weather Operations; VLCC/ULCC Handling; Passenger Vessel; Tug and Tow Operations,12
271,CNSZX,Port of Shenzhen,Yang Zhang,CNSZX-CP-1997-0271,Canal,Class II,Class A,7,150000,366,TRUE,TRUE,FALSE,1997-04-11,2025-08-20,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Chemical Tanker Handling; Cruise Ship Operations; Tug and Tow Operations; Environmental Compliance; ISPS Security Awareness,9
272,CNSZX,Port of Shenzhen,Wei Wu,CNSZX-HP-2019-0272,Harbor,Class II,Class B,11,75000,300,TRUE,FALSE,FALSE,2019-05-20,2025-11-27,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Tug and Tow Operations; Passenger Vessel; Cruise Ship Operations; Human Factors Training,10
273,CNSZX,Port of Shenzhen,Zhong Zhang,CNSZX-CP-2021-0273,Canal,Class I,Unlimited,18,Unlimited,Unlimited,TRUE,TRUE,TRUE,2021-04-04,2030-01-05,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; STS Transfer Operations; Cruise Ship Operations; LNG Carrier Operations; LPG Carrier Operations,12
274,CNSZX,Port of Shenzhen,Ming Zhang,CNSZX-RP-2011-0274,River,Class III,Class C,2,40000,250,TRUE,FALSE,FALSE,2011-11-12,2029-09-26,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Chemical Tanker Handling; Ice Navigation; Dangerous Goods Vessels; Passenger Vessel,7
275,CNSZX,Port of Shenzhen,Zhong Chen,CNSZX-DS-1997-0275,Deep Sea,Senior,Class A,30,150000,366,TRUE,TRUE,TRUE,1997-02-18,2027-03-21,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; Naval Vessels; Emergency Response; Port State Control Procedures; Electronic Chart Display (ECDIS),9
276,CNSZX,Port of Shenzhen,Chen Liu,CNSZX-RP-2022-0276,River,Class II,Class C,10,40000,250,TRUE,FALSE,FALSE,2022-01-25,2027-07-04,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Chemical Tanker Handling; Container Vessel (ULCV); Dangerous Goods Vessels; Emergency Response; Crisis Management,10
277,CNSZX,Port of Shenzhen,Ming Chen,CNSZX-CP-2024-0277,Canal,Senior,Unlimited,30,Unlimited,Unlimited,TRUE,TRUE,TRUE,2024-05-06,2029-02-13,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Emergency Response; LNG Carrier Operations; Car Carrier/RoRo; Automatic Radar Plotting Aid (ARPA),10
278,CNSZX,Port of Shenzhen,Lei Huang,CNSZX-HP-1991-0278,Harbor,Class III,Class C,2,40000,250,TRUE,FALSE,FALSE,1991-01-01,2029-06-07,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; LPG Carrier Operations,5
279,CNSZX,Port of Shenzhen,Xiao Li,CNSZX-CP-2019-0279,Canal,Senior,Class A,35,150000,366,TRUE,TRUE,TRUE,2019-11-08,2029-07-10,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); STS Transfer Operations; Car Carrier/RoRo; Passenger Vessel; Chemical Tanker Handling; Ship Handling Simulator Training,10
280,CNSZX,Port of Shenzhen,Hui Yang,CNSZX-RP-2019-0280,River,Senior,Class A,33,150000,366,TRUE,TRUE,TRUE,2019-01-04,2028-08-17,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; Restricted Visibility Operations; STS Transfer Operations; Passenger Vessel; Container Vessel (ULCV),11
281,CNSZX,Port of Shenzhen,Peng Huang,CNSZX-DS-2021-0281,Deep Sea,Class II,Class A,4,150000,366,TRUE,TRUE,FALSE,2021-03-13,2027-12-07,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; Night Operations - All Vessels,5
282,CNSZX,Port of Shenzhen,Wei Lin,CNSZX-DS-2024-0282,Deep Sea,Class II,Class B,7,75000,300,TRUE,FALSE,FALSE,2024-02-17,2027-02-03,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; STS Transfer Operations; Human Factors Training; Electronic Chart Display (ECDIS); Bridge Resource Management (BRM),8
283,CNSZX,Port of Shenzhen,Hui Zhang,CNSZX-RP-2012-0283,River,Class II,Class B,8,75000,300,TRUE,FALSE,FALSE,2012-06-08,2030-11-13,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations; Heavy Weather Operations; High-Speed Craft; Ship Handling Simulator Training; STCW Certificate,9
284,CNSZX,Port of Shenzhen,Yang Liu,CNSZX-RP-2003-0284,River,Class III,Class C,2,40000,250,TRUE,FALSE,FALSE,2003-11-21,2030-07-11,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; Ice Navigation; VLCC/ULCC Handling,6
